latent_type,src_lang,dest_lang,latent_lang,prob,ci95_prob,loss,ci95_loss,correct,total,acc,ci95_acc
unembed,en,fr,es,0.6796875,0.052114664027726985,0.78125,0.26024137960342647,110,133,0.8270676691729323,0.06427452421254998
unembed,en,de,fr,0.69921875,0.054106307238977705,0.6484375,0.18323117543506562,113,133,0.849624060150376,0.060748118225265005
unembed,en,de,ru,0.78515625,0.04282032904189033,0.341796875,0.09360723092878351,120,133,0.9022556390977443,0.050470883720355374
unembed,en,de,zh,0.78125,0.0419904777038692,0.3359375,0.08564065808378066,121,133,0.9097744360902256,0.04869248263929528
unembed,en,de,es,0.7578125,0.045807793858766405,0.412109375,0.11285978197087373,119,133,0.8947368421052632,0.052157420941465256
unembed,en,ru,fr,0.7109375,0.05576600991501996,0.6484375,0.1845589375758994,112,133,0.8421052631578947,0.06197225063183037
unembed,en,ru,de,0.74609375,0.05078690188689318,0.494140625,0.14207054906921754,115,133,0.8646616541353384,0.058138494652265886
unembed,en,ru,zh,0.734375,0.04846331814043401,0.490234375,0.1360956194354654,114,133,0.8571428571428571,0.05947135533400226
unembed,en,ru,es,0.7265625,0.05111884242210163,0.5234375,0.1427344301396344,113,133,0.849624060150376,0.060748118225265005
unembed,en,zh,fr,0.6484375,0.057093772055853774,0.75390625,0.17792012687173034,101,133,0.7593984962406015,0.07264643149756776
unembed,en,zh,de,0.6875,0.05377436670376925,0.6328125,0.16132310011130774,104,133,0.7819548872180451,0.07017691595859488
unembed,en,zh,ru,0.66015625,0.052114664027726985,0.671875,0.15999533797047394,107,133,0.8045112781954887,0.0673995772830412
unembed,en,zh,es,0.68359375,0.054438247774186155,0.65625,0.1659702676042261,104,133,0.7819548872180451,0.07017691595859488
unembed,en,es,fr,0.65625,0.059417355802312936,0.8671875,0.23501389892758415,101,133,0.7593984962406015,0.07264643149756776
unembed,en,es,de,0.78125,0.046803615464391754,0.390625,0.11750694946379207,116,133,0.8721804511278195,0.05674558338246203
unembed,en,es,ru,0.7890625,0.044480031717932585,0.3671875,0.11285978197087373,118,133,0.8872180451127819,0.053760740627643654
unembed,en,es,zh,0.8046875,0.04381615064751568,0.341796875,0.11285978197087373,120,133,0.9022556390977443,0.050470883720355374
